DocumentId,PartnerId,DocumentDate,City,Sales
758898,11287,1/13/2022,TARGU MURES,273
758900,9831,1/13/2022,LETCANI,514
758902,11893,1/13/2022,DEJ,182
758916,1430,1/13/2022,SANNICOLAU MARE,"1,008"
758927,241,1/13/2022,ARAD,246
758933,9593,1/13/2022,ARAD,109
758935,9593,1/13/2022,ARAD,163
758956,9886,1/13/2022,BRASOV,44
758987,11167,1/13/2022,ROMAN,218
758988,6801,1/13/2022,CLUJ NAPOCA,"1,171"
758993,1804,1/13/2022,TIMISOARA,"1,613"
758995,1804,1/13/2022,TIMISOARA,614
759000,6437,1/13/2022,TIMISOARA,390
759006,10592,1/13/2022,BRASOV,529
759014,10403,1/13/2022,TIMISOARA,153
759019,1196,1/13/2022,CLUJ NAPOCA,397
759050,10889,1/13/2022,BRODINA,60
759055,8028,1/13/2022,CLUJ NAPOCA,829
759083,316,1/13/2022,TIMISOARA,365
759088,10427,1/13/2022,CLUJ NAPOCA,678
759097,161,1/14/2022,BRASOV,524
759098,124,1/14/2022,BRASOV,246
759114,9652,1/14/2022,SANPAUL,491
759129,8191,1/14/2022,CLUJ NAPOCA,534
759150,1387,1/14/2022,CLUJ NAPOCA,"1,409"
759158,7128,1/14/2022,IASI,"1,548"
759160,1098,1/14/2022,BUCURESTI SECTORUL 3,434
759162,9934,1/14/2022,BUCURESTI SECTORUL 2,232
759167,5488,1/14/2022,BUCURESTI,198
759172,11770,1/14/2022,IASI,512
759179,12117,1/14/2022,SEMLAC,685
759341,11195,1/17/2022,BORLOVA,"2,520"
759363,6805,1/17/2022,TARGU MURES,717
759365,554,1/17/2022,CRAIOVA,"1,042"
759375,8362,1/17/2022,CARANSEBES,295
759392,5390,1/17/2022,TARGU MURES,573
759405,793,1/17/2022,FAGARAS,554
759407,9831,1/17/2022,LETCANI,536
759409,9797,1/17/2022,STRAJA,"3,507"
759416,1106,1/17/2022,SUCEAVA,887
759423,1809,1/17/2022,BRASOV,918
759426,10588,1/17/2022,ODORHEIU SECUIESC,273
759430,7672,1/17/2022,FAGARAS,488
759448,11352,1/17/2022,IZVORUL MURESULUI,474
759449,11119,1/17/2022,ARAD,752
759456,6027,1/17/2022,TIMISOARA,"2,086"
759497,1141,1/17/2022,GHIRODA,"1,135"
759500,342,1/17/2022,MIERCUREA CIUC,"1,543"
759507,10236,1/17/2022,CARANSEBES,"1,228"
759517,342,1/17/2022,MIERCUREA CIUC,193
759520,6246,1/17/2022,TARGU JIU,330
759523,6246,1/17/2022,CAMPU LUI NEAG,778
759525,6246,1/17/2022,TARGU JIU,256
759535,342,1/17/2022,MIERCUREA CIUC,871
759537,316,1/17/2022,TIMISOARA,385
759548,10112,1/17/2022,TIMISOARA,109
759551,11512,1/17/2022,SADOVA VECHE,667
759555,9080,1/17/2022,ZABALA,905
759577,11361,1/17/2022,TIMISOARA,995
759594,360,1/17/2022,BUCURESTI SECTORUL 3,139
759610,11071,1/17/2022,TIMISOARA,267
759612,11547,1/17/2022,LIEBLING,440
759620,10922,1/17/2022,COVASNA,534
759627,8655,1/17/2022,MIERCUREA CIUC,400
