PartnerId,Purchase Frequency,DocumentDate,Sales,Date,RecencyScore,SalesScore,FrequencyScore,Total
6173.0,36.0,2022-12-28,11907.0,1,99.44598337950139,10.223015019711335,8.75,39.47299946640424
442.0,35.0,2022-12-28,11819.0,1,99.44598337950139,10.151337438503894,8.5,39.36577360600176
8927.0,35.0,2022-12-28,11694.0,1,99.44598337950139,10.049522692470596,8.5,39.331835357323996
9833.0,35.0,2022-12-27,11586.0,1,99.16897506925207,9.961554751897825,8.5,39.210176607049966
6015.0,35.0,2022-12-27,11570.0,1,99.16897506925207,9.948522464405565,8.5,39.205832511219214
6919.0,35.0,2022-12-27,11410.0,1,99.16897506925207,9.818199589482944,8.5,39.16239155291167
564.0,35.0,2022-12-27,11252.0,1,99.16897506925207,9.689505750496856,8.5,39.11949360658298
1851.0,34.0,2022-12-27,11140.0,1,99.16897506925207,9.598279738051021,8.25,39.005751602434366
864.0,34.0,2022-12-27,10907.0,1,99.16897506925207,9.408497051444954,8.25,38.94249070689901
6805.0,34.0,2022-12-27,10743.0,1,99.16897506925207,9.274916104649268,8.25,38.897963724633776
11349.0,34.0,2022-12-27,10640.0,1,99.16897506925207,9.191020753917831,8.25,38.869998607723296
12279.0,33.0,2022-12-27,10584.0,1,99.16897506925207,9.145407747694914,8.0,38.77146093898233
9106.0,33.0,2022-12-27,10540.0,1,99.16897506925207,9.109568957091193,8.0,38.759514675447754
8028.0,33.0,2022-12-27,10459.0,1,99.16897506925207,9.043593001661616,8.0,38.737522690304566
689.0,33.0,2022-12-27,10431.0,1,99.16897506925207,9.020786498550159,8.0,38.72992052260074
6326.0,33.0,2022-12-27,10310.0,1,99.16897506925207,8.922229824389927,8.0,38.69706829788067
650.0,33.0,2022-12-27,10298.0,1,99.16897506925207,8.91245560877073,8.0,38.6938102260076
7021.0,32.0,2022-12-27,10267.0,1,99.16897506925207,8.887205551754471,7.75,38.60206020700218
1430.0,32.0,2022-12-27,10235.0,1,99.16897506925207,8.861140976769947,7.75,38.59337201534067
9831.0,32.0,2022-12-27,10172.0,1,99.16897506925207,8.809826344769165,7.75,38.576267138007076
11444.0,32.0,2022-12-27,10066.0,1,99.16897506925207,8.72348744013293,7.75,38.54748750312833
5820.0,32.0,2022-12-27,10040.0,1,99.16897506925207,8.702309972958004,7.75,38.540428347403356
7569.0,32.0,2022-12-27,10034.0,1,99.16897506925207,8.697422865148404,7.75,38.538799311466825
11173.0,32.0,2022-12-27,9916.0,1,99.16897506925207,8.601309744892973,7.75,38.50676160471502
1058.0,31.0,2022-12-27,9746.0,1,99.16897506925207,8.462841690287688,7.5,38.37727225317992
793.0,31.0,2022-12-27,9528.0,1,99.16897506925207,8.285276773205617,7.5,38.318083947485896
10470.0,30.0,2022-12-27,9339.0,1,99.16897506925207,8.13133287720327,7.249999999999999,38.183435982151785
10236.0,30.0,2022-12-27,9265.0,1,99.16897506925207,8.071058547551559,7.249999999999999,38.163344538934545
9690.0,30.0,2022-12-27,9165.0,1,99.16897506925207,7.9896067507249215,7.249999999999999,38.13619393999233
1073.0,30.0,2022-12-27,8949.0,1,99.16897506925207,7.813670869579383,7.249999999999999,38.07754864627715
11350.0,29.0,2022-12-27,8925.0,1,99.16897506925207,7.794122438340991,7.000000000000001,37.98769916919769
11325.0,29.0,2022-12-27,8809.0,1,99.16897506925207,7.69963835402209,7.000000000000001,37.956204474424716
10634.0,29.0,2022-12-27,8802.0,1,99.16897506925207,7.693936728244225,7.000000000000001,37.95430393249877
10413.0,29.0,2022-12-27,8760.0,1,99.16897506925207,7.659726973577037,7.000000000000001,37.94290068094303
5872.0,29.0,2022-12-27,8749.0,1,99.16897506925207,7.650767275926107,7.000000000000001,37.939914115059395
6972.0,29.0,2022-12-27,8635.0,1,99.16897506925207,7.557912227543739,7.000000000000001,37.90896243226527
505.0,29.0,2022-12-27,8491.0,1,99.16897506925207,7.44062164011338,7.000000000000001,37.86986556978848
10592.0,29.0,2022-12-27,8454.0,1,99.16897506925207,7.410484475287525,7.000000000000001,37.85981984817986
8845.0,29.0,2022-12-27,8450.0,1,99.16897506925207,7.407226403414459,7.000000000000001,37.85873382422218
12281.0,28.0,2022-12-27,8437.0,1,99.16897506925207,7.396637669826997,6.75,37.771870913026355
11502.0,28.0,2022-12-27,8387.0,1,99.16897506925207,7.355911771413677,6.75,37.75829561355525
12247.0,27.0,2022-12-27,8226.0,1,99.16897506925207,7.22477437852279,6.5,37.63124981592495
6108.0,27.0,2022-12-27,8173.0,1,99.16897506925207,7.181604926204672,6.5,37.61685999848558
4814.0,27.0,2022-12-27,8126.0,1,99.16897506925207,7.143322581696151,6.5,37.60409921698274
8682.0,27.0,2022-12-27,7950.0,1,99.16897506925207,6.999967419281269,6.5,37.556314162844444
9226.0,26.0,2022-12-27,7948.0,1,99.16897506925207,6.998338383344736,6.25,37.47243781753227
10696.0,26.0,2022-12-27,7942.0,1,99.16897506925207,6.993451275535138,6.25,37.470808781595736
